CONTINENT_NAME,COUNTRY_NAME,ADMIN1_NAME,SITE_NAME,LONGITUDE,LATITUDE,YEAR_START,YEAR_END,HRP2_TESTED,HRP2_NUM_DELETION,CITATION_URL
Africa,Ethiopia,Benshangul-Gumaz,Sherkole Health Centre,,,2018,2018,94,14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/
Africa,Ethiopia,Benshangul-Gumaz,Bambasi Health Centre,,,2018,2018,66,9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/
Africa,Ethiopia,Benshangul-Gumaz,Kurmuk Health Centre,,,2018,2018,42,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/
Africa,Ethiopia,Benshangul-Gumaz,Assosa Health Centre,,,2018,2018,16,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/
Africa,Ethiopia,Tigray,Ahferom,,,2017,2018,117,18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Tigray,Atseged Tsimbila,,,2017,2018,160,48,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Tigray,Gulomekeda,,,2017,2018,21,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Tigray,K. Humera,,,2017,2018,176,39,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Tigray,L. Adiabo,,,2017,2018,145,22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Tigray,T. Adiabo,,,2017,2018,69,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Amhara,Metema,,,2017,2018,233,30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Amhara,Quara,,,2017,2018,516,39,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Amhara,Tegede,,,2017,2018,296,65,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Amhara,West Armachiho,,,2017,2018,295,75,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Gambella,Itang,,,2017,2018,151,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Ethiopia,Gambella,Kule Refugee Camp,,,2017,2018,472,4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/
Africa,Eritrea,Gash Barka,Agordat,,,2019,2019,100,15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Gash Barka,Shambuko,,,2019,2019,100,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Gash Barka,Tesseney,,,2019,2019,105,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Gash Barka,Tokombia,,,2019,2019,106,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Gash Barka,Barentu,,,2019,2019,101,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Anseba,Keren,,,2019,2020,78,22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Anseba,Hagaz,,,2019,2020,29,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Debub,Mendefara,,,2019,2020,43,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
Africa,Eritrea,Debub,MaiMine,,,2019,2020,53,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/
